# Wavelength [nm]	Flux [erg s-1 cm-2 nm-1]
6.39000e+02	7.44685e+07
6.40000e+02	7.35440e+07
6.41000e+02	7.33591e+07
6.42000e+02	7.28506e+07
6.43000e+02	7.38213e+07
6.44000e+02	7.34053e+07
6.45000e+02	7.36364e+07
6.46000e+02	7.25270e+07
6.47000e+02	7.28968e+07
6.48000e+02	7.35440e+07
6.49000e+02	7.21110e+07
6.50000e+02	7.06780e+07
6.51000e+02	7.33128e+07
6.52000e+02	7.24808e+07
6.53000e+02	7.23884e+07
6.54000e+02	7.13252e+07
6.55000e+02	6.97535e+07
6.56000e+02	6.10632e+07
6.57000e+02	6.26811e+07
6.58000e+02	6.97535e+07
6.59000e+02	6.99384e+07
6.60000e+02	7.01233e+07
6.61000e+02	7.05856e+07
6.62000e+02	7.10478e+07
6.63000e+02	6.95224e+07
6.64000e+02	6.98922e+07
6.65000e+02	6.96148e+07
6.66000e+02	6.95224e+07
6.67000e+02	6.92913e+07
6.68000e+02	6.91526e+07
6.69000e+02	7.01233e+07
6.70000e+02	6.97535e+07
6.71000e+02	6.96611e+07
6.72000e+02	6.90139e+07
6.73000e+02	6.99846e+07
6.74000e+02	6.96611e+07
6.75000e+02	6.89677e+07
6.76000e+02	6.93837e+07
6.77000e+02	6.86441e+07
6.78000e+02	6.87828e+07
6.79000e+02	6.76272e+07
6.80000e+02	6.81356e+07
6.81000e+02	6.76734e+07
6.82000e+02	6.75810e+07
6.83000e+02	6.74423e+07
6.84000e+02	6.71187e+07
6.85000e+02	6.76272e+07
6.86000e+02	6.73036e+07
6.87000e+02	6.81356e+07
6.88000e+02	6.73498e+07
6.89000e+02	6.72112e+07
6.90000e+02	6.67489e+07
6.91000e+02	6.62404e+07
6.92000e+02	6.56395e+07
6.93000e+02	6.57320e+07
6.94000e+02	6.59168e+07
6.95000e+02	6.59168e+07
6.96000e+02	6.64716e+07
6.97000e+02	6.61942e+07
6.98000e+02	6.52697e+07
6.99000e+02	6.61480e+07
7.00000e+02	6.53159e+07
7.01000e+02	6.51772e+07
7.02000e+02	6.48074e+07
7.03000e+02	6.50848e+07
7.04000e+02	6.57320e+07
7.05000e+02	6.58244e+07
7.06000e+02	6.51772e+07
7.07000e+02	6.50386e+07
7.08000e+02	6.51772e+07
7.09000e+02	6.45301e+07
7.10000e+02	6.48537e+07
7.11000e+02	6.45301e+07
7.12000e+02	6.40216e+07
7.13000e+02	6.36518e+07
7.14000e+02	6.38830e+07
7.15000e+02	6.26811e+07
7.16000e+02	6.30047e+07
7.17000e+02	6.38830e+07
7.18000e+02	6.28660e+07
7.19000e+02	6.17104e+07
7.20000e+02	6.29122e+07
7.21000e+02	6.22188e+07
7.22000e+02	6.21726e+07
7.23000e+02	6.27273e+07
7.24000e+02	6.22188e+07
7.25000e+02	6.18028e+07
7.26000e+02	6.18953e+07
7.27000e+02	6.23113e+07
7.28000e+02	6.12019e+07
7.29000e+02	5.99538e+07
7.30000e+02	6.14330e+07
7.31000e+02	6.09708e+07
7.32000e+02	6.11094e+07
7.33000e+02	6.09246e+07
7.34000e+02	6.15717e+07
7.35000e+02	6.06934e+07
7.36000e+02	6.04161e+07
7.37000e+02	6.08783e+07
7.38000e+02	5.98614e+07
7.39000e+02	5.88444e+07
7.40000e+02	5.97227e+07
7.41000e+02	5.87520e+07
